date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-02-24,0.4,-10,7,,,,10.7,,,
2016-02-25,1.7,-8,7,,,,9.9,,,
2016-02-26,2.9,-6,8,,,,11.9,,,
2016-02-27,2.6,-4,8.6,0,,,11,,,
2016-02-28,0.2,-7,7,,,,16.5,,,
2016-02-29,-0.6,-6,4,,,,8.7,,,
2016-03-01,2.4,-7,11,,,,6.6,,,
2016-03-02,9.3,-1.5,19,,,,7.2,,,
2016-03-03,7.2,1,15,,,,5.4,,,
2016-03-04,7,0,11.8,,,,5.7,,1017.8,
2016-03-05,5.8,2,12.4,,,,18.2,,1019.8,
2016-03-06,5.2,-2,11,,,,6.2,,,
2016-03-07,4.9,-1,11,,,,18,,,
2016-03-08,1,-2,6,,,,15.5,,,
2016-03-09,1.3,-4,6,,,,18.3,,1033.5,
2016-03-10,1.8,-4,7.1,,,311,16.7,,,
2016-03-11,3.2,-7,8,,,,9.6,,,
2016-03-12,3.2,-4,9.7,,,,5.7,,,
2016-03-13,6.1,-3,12.7,,,312,14.9,,,
2016-03-14,9.2,-1.4,16,,,,,,1022.4,
2016-03-15,6.7,4,13,,,,8.4,,1017.3,
2016-03-16,9.1,-2.6,16.7,,,,6.3,,,
2016-03-17,9.9,2,17.5,,,,6,,1011.8,
2016-03-18,15.2,6.5,22,,,,9.2,,,
2016-03-19,9.5,7,15,,,,9.5,,1022.3,
2016-03-20,10.9,1,19,,,,6.9,,1025.5,
2016-03-21,13.9,2.9,19,,,,7.2,,1021.9,
2016-03-22,11.2,9.3,16,,,,8,,,
2016-03-23,5.8,4,14,,,,,,1031.3,
2016-03-24,8.9,0,15,,,,8.4,,1031.6,
2016-03-25,10,2,15,,,,9.3,,,
2016-03-26,14.3,3.5,20,,,,,,,
2016-03-27,15.3,5,22,,,279,12,,,
2016-03-28,15.2,5,22.4,,,,9,,,
2016-03-29,16.4,8.2,23,,,,12.2,,,
2016-03-30,14.1,9,22,,,,10.4,,,
2016-03-31,17.9,8.1,23.6,,,,9.9,,,
2016-04-01,16.7,12,22,0.5,,356,17.6,,,
2016-04-02,14.4,11.8,19,,,,15.2,,,
2016-04-03,13.9,8,19,,,,10.2,,,
2016-04-04,15.6,6,22,,,,10.2,,,
2016-04-05,14.8,7,22,,,,12.6,,,
2016-04-06,14.3,7,19.9,,,,7.2,,,
2016-04-07,17.7,9,24,0,,,,,,
2016-04-08,17,10,24,,,,,,1013.2,
2016-04-09,14.3,5,25,,,,10.5,,1010.1,
2016-04-10,12.4,4,20,,,,9.8,,1017.9,
2016-04-11,10.5,4.5,15.2,1.3,,140,10.7,,1017.5,
2016-04-12,11.4,7,18.4,0,,,,,1007.5,
2016-04-13,18.6,8,27,,,,12.5,,1004.6,
2016-04-14,15.9,12.7,23,,,,14.7,,,
2016-04-15,16.8,8.1,22,3.8,,,9.6,,1011.7,
2016-04-16,15.6,12,20,,,334,20.3,,1009.5,
2016-04-17,15.1,12,19.5,,,299,20.3,,1010.9,
2016-04-18,14.9,8,21,,,,13.5,,1013.3,
2016-04-19,12.6,8.8,15,,,105,9.3,,1016.5,
2016-04-20,18.2,10,27,,,,10.5,,1011.5,
2016-04-21,20.8,8,32,,,,13.4,,1003.2,
2016-04-22,18.2,10,25.2,,,,14.1,,,
2016-04-23,15.3,8,22,,,,10.8,,1014.3,
2016-04-24,20,8.5,25,,,,10.7,,,
2016-04-25,20.2,16,29,,,161,14.1,,,
2016-04-26,16.7,13,23,,,,8.9,,1016,
2016-04-27,14.6,10,19,,,,6.8,,1014,
2016-04-28,18.7,11.2,25.5,,,,12.5,,1014,
2016-04-29,18.3,12,26,0,,,8.9,,,
2016-04-30,22.9,14.5,30.6,0,,80,10.7,,,
2016-05-01,24.4,15,30.4,,,,6.5,,,
2016-05-02,11.7,11,23.8,8.1,,353,18.3,,1008,
2016-05-03,19.8,7,28,7.9,,,17.9,,1001.2,
2016-05-04,22.3,9.1,28.3,0,,,8.6,,,
2016-05-05,19.7,15,24,,,,10.2,,1005.3,
2016-05-06,20.4,15,26,,,323,24.9,,1011.8,
2016-05-07,19.7,10.9,27,,,,10.2,,1017.1,
2016-05-08,20.5,12.2,27,,,,13.1,,1012.3,
2016-05-09,16.7,14,25,,,,9.8,,,
